Produto,Custo_Insumo_Unitario
MOLHO BRANCO,0.0
MOLHO VERMELHO,0.0
ÁGUA,1.0
ÁGUA COM GAS,2.5
Chopp Artesanal Reserva do Gerente,2.0
HEINEKEN 600,11.0
Stella,11.0
LONG NECK,6.5
REFRIGERANTE,2.8
SUCO ACEROLA,2.5
SUCO MANGA,2.5
SUCO GRAVIOLA,2.0
SUCO 500ml,1.8
ARROZ PK,2.0
PENNE AO GORGONZOLA,4.0
PENNE CRISPY AO GORGONZOLA,4.5
CONSUMAÇÃO,0.0
BACALHAU COM PALMITO,10.4
PANQUECA PALMITO NATURAL,7.7
PANQUECA CALABRESA,8.1
PANQUECA CAMARÃO C/ CATUPIRY,11.2
PANQUECA CARNE MOIDA,7.78
PANQUECA FILE C/ BACON,11.2
PANQUECA FILE MIGNON,11.2
PANQUECA FRANGO,4.9
PANQUECA NORDESTINA,10.6
PANQUECA FRANGO C/ BACON,7.9
PANQUECA FRANGO C/ PALMITO,8.8
PANQUECA MINEIRINHA,8.0
PANQUECA RICOTA C/ ESPINAFRE,6.0
Taxa de Serviço,0.0
PANQUECA DE BRIGADEIRO,5.0
